year,init_month,sst,rel_sst
1993,4,300.1946,-0.21595255533854166
1993,5,300.28424,-0.2088623046875
1993,6,300.2602,-0.2642822265625
1993,7,300.24033,-0.3106587727864583
1994,4,300.22934,-0.18123372395833334
1994,5,300.2497,-0.243408203125
1994,6,300.1837,-0.3407796223958333
1994,7,300.11185,-0.4391581217447917
1995,4,300.45615,0.045603434244791664
1995,5,300.53885,0.045735677083333336
1995,6,300.84842,0.3239339192708333
1995,7,300.90564,0.3546346028645833
1996,4,300.25308,-0.157470703125
1996,5,300.39432,-0.09877522786458333
1996,6,300.37723,-0.14725748697916666
1996,7,300.41272,-0.13826497395833334
1997,4,300.47903,0.06850179036458333
1997,5,300.45145,-0.041636149088541664
1997,6,300.533,0.008504231770833334
1997,7,300.5482,-0.0027974446614583335
1998,4,300.5718,0.16126505533854166
1998,5,300.65665,0.16356404622395834
1998,6,300.7589,0.23442586263020834
1998,7,300.80203,0.2510477701822917
1999,4,300.2349,-0.1756591796875
1999,5,300.52097,0.027842203776041668
1999,6,300.6039,0.07942708333333333
1999,7,300.52124,-0.029744466145833332
2000,4,300.21494,-0.19560750325520834
2000,5,300.2859,-0.20722452799479166
2000,6,300.30667,-0.21779378255208334
2000,7,300.24612,-0.3048807779947917
2001,4,300.4335,0.022969563802083332
2001,5,300.41876,-0.0743408203125
2001,6,300.48242,-0.042043050130208336
2001,7,300.46005,-0.09095255533854167
2002,4,300.43793,0.027374267578125
2002,5,300.55338,0.060282389322916664
2002,6,300.34305,-0.181427001953125
2002,7,300.36917,-0.18180338541666666
2003,4,300.48953,0.0789794921875
2003,5,300.5634,0.07029215494791667
2003,6,300.61758,0.093109130859375
2003,7,300.66922,0.11822509765625
2004,4,300.63474,0.22418212890625
2004,5,300.60162,0.1085205078125
2004,6,300.53235,0.007863362630208334
2004,7,300.73068,0.17966715494791666
2005,4,300.7078,0.2972310384114583
2005,5,300.89096,0.397857666015625
2005,6,300.9706,0.4461263020833333
2005,7,301.14554,0.5945536295572916
2006,4,300.53036,0.11979166666666667
2006,5,300.70996,0.21684773763020834
2006,6,300.86612,0.3416646321614583
2006,7,300.80188,0.2508748372395833
2007,4,300.6404,0.22987874348958334
2007,5,300.63513,0.14202880859375
2007,6,300.61856,0.09410603841145833
2007,7,300.63992,0.08894856770833333
2008,4,300.4083,-0.0022684733072916665
2008,5,300.59668,0.10358683268229167
2008,6,300.66476,0.140289306640625
2008,7,300.79324,0.24223836263020834
2009,4,300.41025,-0.0002950032552083333
2009,5,300.40152,-0.091583251953125
2009,6,300.5179,-0.006581624348958333
2009,7,300.65393,0.10292561848958333
2010,4,301.11234,0.7017720540364584
2010,5,301.19553,0.7024332682291666
2010,6,301.3042,0.7797342936197916
2010,7,301.22922,0.6782124837239584
2011,4,300.64618,0.235626220703125
2011,5,300.80945,0.3163553873697917
2011,6,300.92285,0.3983866373697917
2011,7,300.94763,0.3966471354166667
2012,4,300.66797,0.257415771484375
2012,5,300.63968,0.14659627278645834
2012,6,300.6788,0.15430704752604166
2012,7,300.72745,0.17645263671875
2013,4,300.7625,0.351959228515625
2013,5,300.79068,0.2975870768229167
2013,6,300.69214,0.16766357421875
2013,7,300.63748,0.08649698893229167
2014,4,300.60452,0.1939697265625
2014,5,300.66354,0.17042032877604166
2014,6,300.62442,0.09996541341145833
2014,7,300.55283,0.0018208821614583333
2015,4,300.58847,0.17789713541666666
2015,5,300.74463,0.2515360514322917
2015,6,300.67313,0.14867146809895834
2015,7,300.58374,0.032735188802083336
2016,4,300.53894,0.12837727864583334
2016,5,300.96347,0.4703776041666667
2016,6,300.97754,0.4530741373697917
2016,7,300.94794,0.396942138671875
2020,4,300.95517,0.5445963541666666
2020,5,301.02533,0.5322265625
2020,6,301.04056,0.5160725911458334
2020,7,300.9833,0.4323018391927083
2021,4,300.81223,0.4016520182291667
2021,5,300.9668,0.4736836751302083
2021,6,300.942,0.4175211588541667
2021,7,300.82712,0.276123046875
2022,4,300.7936,0.383056640625
2022,5,300.84256,0.3494669596354167
2022,6,300.98242,0.4579569498697917
2022,7,300.76602,0.21504720052083334
2023,4,301.0242,0.6136576334635416
2023,5,301.2225,0.729400634765625
2023,6,301.33383,0.8093363444010416
2023,7,301.51163,0.9606424967447916
2024,4,301.39188,0.9813232421875
2024,5,301.4396,0.946502685546875
2024,6,301.51004,0.9855855305989584
2024,7,301.43643,0.8854268391927084
2025,4,300.91605,0.5054931640625
2025,5,300.9148,0.4217020670572917
2025,6,300.9328,0.4083251953125
2025,7,300.91675,0.3657430013020833
