year,init_month,sst,rel_sst
1981,2,300.95444,-0.06502279
1981,3,300.74435,-0.27945963
1981,4,301.1174,0.11717733
1981,5,300.756,-0.12544759
1981,6,300.89072,0.059488934
1981,7,300.95425,0.19248454
1981,8,301.00244,0.2999166
1982,1,300.6285,-0.2597046
1982,2,300.74655,-0.27287802
1982,3,300.67972,-0.3440857
1982,4,300.71762,-0.28260294
1982,5,300.64648,-0.23499553
1982,6,300.53494,-0.2962545
1982,7,300.45804,-0.30374146
1982,8,300.22183,-0.48069254
1983,1,300.97327,0.08505249
1983,2,301.05093,0.031514484
1983,3,301.2644,0.24060059
1983,4,301.19946,0.19924927
1983,5,301.03677,0.15529378
1983,6,301.00223,0.17101033
1983,7,300.6558,-0.10599772
1983,8,300.47812,-0.22439575
1984,1,300.6233,-0.26493835
1984,2,300.68323,-0.33622232
1984,3,300.69016,-0.33366904
1984,4,300.66516,-0.33506265
1984,5,300.58182,-0.29963174
1984,6,300.61356,-0.21765137
1984,7,300.46823,-0.29355875
1984,8,300.1949,-0.5076294
1985,1,300.47638,-0.41184998
1985,2,300.78976,-0.22969563
1985,3,300.39285,-0.6309611
1985,4,300.37817,-0.62205
1985,5,300.2719,-0.6095581
1985,6,300.41776,-0.413442
1985,7,300.58463,-0.17714436
1985,8,300.58505,-0.117482506
1986,1,300.53687,-0.35133362
1986,2,300.84073,-0.17871094
1986,3,300.8009,-0.22291057
1986,4,300.8193,-0.18089803
1986,5,300.69998,-0.18149821
1986,6,300.44507,-0.38613892
1986,7,300.44672,-0.31506348
1986,8,300.463,-0.23950195
1987,1,300.82837,-0.05986023
1987,2,301.0165,-0.0029296875
1987,3,301.22437,0.2005717
1987,4,301.23514,0.2349345
1987,5,301.1996,0.31810507
1987,6,301.0258,0.19458008
1987,7,301.0305,0.26871744
1987,8,300.94852,0.2460022
1988,1,300.55896,-0.3292389
1988,2,300.63852,-0.38091025
1988,3,300.65906,-0.3647461
1988,4,300.66443,-0.33577475
1988,5,300.70267,-0.17880249
1988,6,300.87183,0.040608723
1988,7,300.72067,-0.04112752
1988,8,300.80228,0.09976196
1989,1,300.5575,-0.33070374
1989,2,300.99808,-0.021372477
1989,3,300.70792,-0.3158773
1989,4,300.7332,-0.26701865
1989,5,300.4744,-0.40707397
1989,6,300.57465,-0.25656128
1989,7,300.824,0.062245686
1989,8,300.88803,0.18549602
1990,1,300.7345,-0.15370178
1990,2,301.04312,0.023671469
1990,3,301.19836,0.17455037
1990,4,300.9005,-0.09970093
1990,5,300.77292,-0.108551025
1990,6,300.84744,0.016245523
1990,7,300.78113,0.019348145
1990,8,300.85123,0.1487325
1991,1,300.5481,-0.3401184
1991,2,300.78568,-0.23376465
1991,3,300.5029,-0.52091473
1991,4,300.62744,-0.37277222
1991,5,300.5349,-0.34655762
1991,6,300.5448,-0.28641763
1991,7,300.30624,-0.45554605
1991,8,300.3407,-0.36182657
1992,1,301.3483,0.460083
1992,2,301.20264,0.1832072
1992,3,301.3398,0.31601968
1992,4,301.11404,0.113850914
1992,5,300.80142,-0.08003744
1992,6,300.64005,-0.19115193
1992,7,300.4766,-0.2851664
1992,8,300.53958,-0.16291301
1993,1,300.7528,-0.13539124
1993,2,301.4315,0.41202798
1993,3,301.11917,0.09538778
1993,4,300.97375,-0.026448568
1993,5,300.9993,0.1178182
1993,6,300.65198,-0.17921956
1993,7,300.51416,-0.24761963
1993,8,300.38776,-0.3147583
1994,1,300.56152,-0.32667542
1994,2,300.6703,-0.3491516
1994,3,300.96384,-0.05996704
1994,4,300.93982,-0.06040446
1994,5,300.6971,-0.18435669
1994,6,300.49548,-0.33573404
1994,7,300.44345,-0.31832886
1994,8,300.36368,-0.33881631
1995,1,301.076,0.18777466
1995,2,301.23193,0.21250407
1995,3,300.9836,-0.040211994
1995,4,300.95474,-0.04547119
1995,5,301.0885,0.20703125
1995,6,301.19873,0.36753336
1995,7,301.12988,0.36809286
1995,8,301.0924,0.38990274
1996,1,300.75696,-0.13124084
1996,2,301.23633,0.2168986
1996,3,301.08224,0.058441162
1996,4,301.13983,0.13961792
1996,5,300.93835,0.05687459
1996,6,300.7371,-0.09412638
1996,7,300.72656,-0.03520711
1996,8,300.54495,-0.15755208
1997,1,301.26044,0.37223816
1997,2,300.92496,-0.09448242
1997,3,301.30273,0.27894083
1997,4,301.35245,0.35225424
1997,5,301.21545,0.33399454
1997,6,301.27402,0.4427897
1997,7,300.8903,0.1285197
1997,8,300.74414,0.041625977
1998,1,301.3986,0.510376
1998,2,301.5873,0.5678609
1998,3,301.57706,0.55326337
1998,4,301.46646,0.46624756
1998,5,301.2834,0.4019165
1998,6,301.2169,0.3856608
1998,7,301.0901,0.32829794
1998,8,300.94327,0.24077351
1999,1,300.98853,0.10029602
1999,2,300.74548,-0.2739563
1999,3,300.73117,-0.29263306
1999,4,300.9038,-0.09639486
