year,init_month,sst,rel_sst
1982,1,300.47937,0.07974243
1982,2,300.38968,-0.041849773
1982,3,300.32574,-0.16552734
1982,4,300.38516,-0.14046223
1982,5,300.4463,-0.13387044
1982,6,300.50305,-0.10825602
1982,7,300.50586,-0.12372843
1982,8,300.35596,-0.24563599
1983,1,300.4925,0.09286499
1983,2,300.5018,0.07028198
1983,3,300.46176,-0.02952067
1983,4,300.50485,-0.02078247
1983,5,300.58023,5.086263e-05
1983,6,300.63855,0.02726237
1983,7,300.60193,-0.027659098
1983,8,300.3499,-0.25167847
1984,1,300.15344,-0.24619548
1984,2,300.18283,-0.24867757
1984,3,300.1764,-0.31489053
1984,4,300.2114,-0.31425986
1984,5,300.41916,-0.16103108
1984,6,300.34567,-0.26561484
1984,7,300.24594,-0.38364664
1984,8,299.9894,-0.6121623
1985,1,300.02853,-0.3711141
1985,2,299.91382,-0.5177002
1985,3,300.0632,-0.4280599
1985,4,300.1309,-0.39475504
1985,5,300.18314,-0.3970337
1985,6,300.28467,-0.32662964
1985,7,300.48703,-0.14253743
1985,8,300.3884,-0.21320598
1986,1,300.15134,-0.24829102
1986,2,300.22983,-0.20170085
1986,3,300.22165,-0.2696228
1986,4,300.2485,-0.2771403
1986,5,300.3048,-0.27534994
1986,6,300.3289,-0.28241983
1986,7,300.35068,-0.2789103
1986,8,300.2634,-0.33821616
1987,1,300.37793,-0.021697998
1987,2,300.5255,0.09400431
1987,3,300.6733,0.18202718
1987,4,300.62595,0.10032145
1987,5,300.7883,0.2081197
1987,6,300.6785,0.067220055
1987,7,300.82156,0.19199626
1987,8,300.80746,0.20587158
1988,1,300.36667,-0.03297933
1988,2,300.4183,-0.013214111
1988,3,300.31943,-0.17184448
1988,4,300.46317,-0.06245931
1988,5,300.54004,-0.04012044
1988,6,300.6606,0.04932658
1988,7,300.59836,-0.031239828
1988,8,300.64734,0.04574585
1989,1,300.2434,-0.1562093
1989,2,300.35486,-0.076660156
1989,3,300.37137,-0.119893394
1989,4,300.27603,-0.24960327
1989,5,300.32657,-0.25358072
1989,6,300.43466,-0.17663574
1989,7,300.5671,-0.062479656
1989,8,300.62607,0.024475098
1990,1,300.35733,-0.04228719
1990,2,300.58984,0.15833537
1990,3,300.6766,0.18531291
1990,4,300.6673,0.1416626
1990,5,300.6271,0.04695638
1990,6,300.68515,0.07384237
1990,7,300.61758,-0.011973063
1990,8,300.6483,0.04668172
1991,1,300.463,0.06337484
1991,2,300.4553,0.023783365
1991,3,300.4848,-0.0064697266
1991,4,300.49463,-0.030995687
1991,5,300.50055,-0.07962036
1991,6,300.5673,-0.043986004
1991,7,300.57834,-0.051239014
1991,8,300.53577,-0.065826416
1992,1,300.5934,0.19378662
1992,2,300.50058,0.06904093
1992,3,300.52457,0.03330485
1992,4,300.52908,0.0034383137
1992,5,300.55643,-0.023742676
1992,6,300.52042,-0.090861
1992,7,300.42407,-0.20551555
1992,8,300.4235,-0.17808025
1993,1,300.2513,-0.14830525
1993,2,300.3913,-0.040222168
1993,3,300.51474,0.023447672
1993,4,300.45923,-0.06641642
1993,5,300.41696,-0.16320801
1993,6,300.45627,-0.15501912
1993,7,300.4354,-0.19417317
1993,8,300.29202,-0.30954996
1994,1,300.14362,-0.25601196
1994,2,300.15555,-0.27597046
1994,3,300.30664,-0.18463135
1994,4,300.44873,-0.0769043
1994,5,300.43088,-0.14931233
1994,6,300.43225,-0.17903645
1994,7,300.37784,-0.25172934
1994,8,300.27393,-0.32766724
1995,1,300.49734,0.097707115
1995,2,300.56137,0.12986247
1995,3,300.58325,0.09199015
1995,4,300.61514,0.08949789
1995,5,300.71933,0.13916016
1995,6,300.94333,0.3320414
1995,7,300.98978,0.3601888
1995,8,300.99734,0.39576212
1996,1,300.49646,0.096842445
1996,2,300.42297,-0.008534749
1996,3,300.4785,-0.012797038
1996,4,300.4867,-0.038930256
1996,5,300.58115,0.0009765625
1996,6,300.51968,-0.09161377
1996,7,300.56793,-0.061645508
1996,8,300.43295,-0.16864014
1997,1,300.42612,0.026468912
1997,2,300.40805,-0.023468018
1997,3,300.60577,0.11450195
1997,4,300.6636,0.13799031
1997,5,300.6508,0.070627846
1997,6,300.76053,0.1492513
1997,7,300.73465,0.10506185
1997,8,300.7341,0.1325175
1998,1,300.67026,0.27064005
1998,2,300.70853,0.2770284
1998,3,300.69345,0.20218913
1998,4,300.6924,0.1667989
1998,5,300.7938,0.2136027
1998,6,300.87613,0.26482138
1998,7,300.91824,0.28867593
1998,8,300.90787,0.30629477
1999,1,300.37463,-0.025004068
1999,2,300.41736,-0.014160156
1999,3,300.42477,-0.06650797
1999,4,300.50037,-0.025258383
1999,5,300.69894,0.118784584
1999,6,300.73154,0.12022909
1999,7,300.6589,0.029307047
1999,8,300.7429,0.14129639
2000,1,300.3176,-0.0820516
2000,2,300.4008,-0.030741373
2000,3,300.44943,-0.0418396
2000,4,300.49866,-0.026967367
2000,5,300.50674,-0.073404945
2000,6,300.45218,-0.15909831
2000,7,300.48032,-0.1492513
2000,8,300.47845,-0.12313843
2001,1,300.55484,0.1552124
2001,2,300.5806,0.14907837
2001,3,300.66263,0.17136638
2001,4,300.70175,0.17610677
2001,5,300.6235,0.043314617
2001,6,300.69608,0.08479818
2001,7,300.63583,0.0062561035
2001,8,300.73834,0.13674927
2002,1,300.5361,0.13648479
2002,2,300.60318,0.1716512
2002,3,300.74524,0.25395712
2002,4,300.6582,0.13255818
2002,5,300.7565,0.17632039
2002,6,300.58963,-0.021647135
2002,7,300.60208,-0.027496338
2002,8,300.61215,0.010559082
2003,1,300.49792,0.09828695
2003,2,300.47342,0.04191081
2003,3,300.55505,0.06379191
2003,4,300.66663,0.14099121
2003,5,300.66156,0.08139038
2003,6,300.7864,0.17510986
2003,7,300.8352,0.20562744
2003,8,300.92792,0.32632446
2004,1,300.5877,0.18807983
2004,2,300.61777,0.18625896
2004,3,300.78943,0.2981669
2004,4,300.8311,0.3054606
2004,5,300.75903,0.17886353
2004,6,300.74692,0.13559978
2004,7,300.9069,0.2773234
2004,8,301.00208,0.40048218
2005,1,300.53024,0.1305949
2005,2,300.5527,0.12119547
2005,3,300.6827,0.19144695
2005,4,300.8559,0.33026123
2005,5,301.0519,0.47173056
2005,6,301.03247,0.4211731
2005,7,301.1687,0.5391337
2005,8,301.2628,0.66120404
2006,1,300.54538,0.14575195
2006,2,300.65207,0.22056071
2006,3,300.7957,0.3044332
2006,4,300.78842,0.2627665
2006,5,300.9298,0.34965006
2006,6,301.0347,0.42341104
2006,7,300.959,0.3294576
2006,8,300.9879,0.38633218
2007,1,300.73425,0.33462524
2007,2,300.62756,0.19603474
2007,3,300.78098,0.289683
2007,4,300.78915,0.26352945
2007,5,300.80673,0.2265625
2007,6,300.7739,0.16257732
2007,7,300.80264,0.17305501
2007,8,300.89697,0.2953898
2008,1,300.42075,0.021128336
2008,2,300.53824,0.1067098
2008,3,300.5843,0.09301758
2008,4,300.64835,0.12271118
2008,5,300.80417,0.22398885
2008,6,300.81995,0.20865886
2008,7,300.93713,0.307546
2008,8,301.03433,0.4327291
2009,1,300.59537,0.19576009
2009,2,300.63968,0.20818074
2009,3,300.673,0.181722
2009,4,300.70035,0.17471313
2009,5,300.69177,0.11160278
2009,6,300.7662,0.15489705
2009,7,300.9004,0.270813
2009,8,301.01505,0.4134725
2010,1,300.7689,0.36927286
2010,2,300.80228,0.37075806
2010,3,301.0043,0.51305133
2010,4,301.18793,0.6622925
2010,5,301.21933,0.63913983
2010,6,301.3199,0.70858765
2010,7,301.26874,0.63916016
2010,8,301.39395,0.7923787
2011,4,300.98767,0.4620463
2011,5,301.08,0.49980673
2011,6,301.1865,0.5751953
2011,7,301.20316,0.5735779
2011,8,301.25894,0.65736896
2012,1,300.85767,0.4580485
2012,2,300.78915,0.35762534
2012,3,300.9184,0.42712402
2012,4,301.05362,0.5279948
2012,5,300.95374,0.37356567
2012,6,300.98764,0.37634277
2012,7,301.00082,0.37124634
2012,8,301.06567,0.46407065
2013,1,300.77298,0.3733419
2013,2,300.88083,0.44932047
2013,3,301.0356,0.54435223
2013,4,301.02625,0.50062054
2013,5,301.0614,0.4812317
2013,6,300.96997,0.35866293
2013,7,300.96298,0.3333842
2013,8,300.99756,0.39597574
2014,1,300.94977,0.5501404
2014,2,300.91687,0.48536173
2014,3,300.87283,0.38155112
2014,4,300.8914,0.36577353
2014,5,300.88144,0.3012797
2014,6,300.8185,0.20720418
2014,7,300.80273,0.17315674
2014,8,300.84805,0.24645996
2015,1,300.26962,-0.13000488
2015,2,300.85898,0.42743936
2015,3,300.89096,0.39969888
2015,4,300.91943,0.393809
2015,5,301.08255,0.5023804
2015,6,300.94247,0.3311564
2015,7,300.95477,0.3251953
2015,8,301.08688,0.48528036
2016,1,301.0826,0.6829834
2016,2,300.94534,0.5138143
2016,3,300.81586,0.32458496
2016,4,300.83398,0.30835977
2016,5,301.1953,0.6151428
