year,init_month,sst,rel_sst
1993,4,300.11026,-0.18194580078125
1993,5,300.2069,-0.1572265625
1993,6,300.3268,-0.15888468424479166
1993,7,300.33682,-0.22928873697916666
1994,4,299.96252,-0.3296712239583333
1994,5,300.15784,-0.206298828125
1994,6,300.02615,-0.4595438639322917
1994,7,300.14883,-0.4172770182291667
1995,4,300.26474,-0.027455647786458332
1995,5,300.40002,0.035888671875
1995,6,300.76834,0.2826436360677083
1995,7,300.98068,0.4145609537760417
1996,4,300.14877,-0.1434326171875
1996,5,300.30518,-0.0589599609375
1996,6,300.25967,-0.22599283854166666
1996,7,300.3988,-0.16728719075520834
1997,4,300.21457,-0.07762654622395833
1997,5,300.3745,0.0103759765625
1997,6,300.64566,0.15998331705729166
1997,7,300.62424,0.058115641276041664
1998,4,300.58334,0.2911275227864583
1998,5,300.6475,0.2833760579427083
1998,6,300.74268,0.2569783528645833
1998,7,300.77905,0.21295166015625
1999,4,300.31375,0.021565755208333332
1999,5,300.4085,0.04437255859375
1999,6,300.60196,0.11629231770833333
1999,7,300.64053,0.07444254557291667
2000,4,300.2809,-0.01129150390625
2000,5,300.29684,-0.06731160481770833
2000,6,300.25122,-0.234466552734375
2000,7,300.3855,-0.18059285481770834
2001,4,300.21945,-0.07275390625
2001,5,300.2107,-0.15343221028645834
2001,6,300.36948,-0.11623128255208333
2001,7,300.4365,-0.12959798177083334
2002,4,300.38474,0.09253946940104167
2002,5,300.28128,-0.08283487955729167
2002,6,300.31253,-0.17315673828125
2002,7,300.17578,-0.39031982421875
2003,4,300.32193,0.02972412109375
2003,5,300.3444,-0.019734700520833332
2003,6,300.58005,0.09437052408854167
2003,7,300.66077,0.09466552734375
2004,4,300.41336,0.12115478515625
2004,5,300.40353,0.039377848307291664
2004,6,300.51926,0.033548990885416664
2004,7,300.70248,0.13639322916666666
2005,4,300.5804,0.2882080078125
2005,5,300.69656,0.3324381510416667
2005,6,300.91006,0.4243876139322917
2005,7,301.0895,0.5234273274739584
2006,4,300.34485,0.052632649739583336
2006,5,300.55045,0.18631998697916666
2006,6,300.7924,0.30670166015625
2006,7,300.68234,0.11623128255208333
2007,4,300.37888,0.08668009440104167
2007,5,300.52026,0.15611775716145834
2007,6,300.54935,0.06364949544270833
2007,7,300.5634,-0.002716064453125
2008,4,300.3275,0.035308837890625
2008,5,300.47043,0.10630289713541667
2008,6,300.69547,0.20978800455729166
2008,7,300.76205,0.195953369140625
2009,4,300.17664,-0.115570068359375
2009,5,300.27396,-0.09016927083333333
2009,6,300.33768,-0.14802042643229166
2009,7,300.6787,0.11259969075520833
2010,4,300.75662,0.4644368489583333
2010,5,301.0054,0.641265869140625
2010,6,301.11005,0.624359130859375
2010,7,301.11444,0.54833984375
2011,4,300.3433,0.051106770833333336
2011,5,300.52893,0.16480509440104166
2011,6,300.79752,0.3118489583333333
2011,7,300.8849,0.3187764485677083
2012,4,300.309,0.01678466796875
2012,5,300.39548,0.031341552734375
2012,6,300.64145,0.15577189127604166
2012,7,300.61563,0.049519856770833336
2013,4,300.48956,0.197357177734375
2013,5,300.47775,0.11360677083333333
2013,6,300.48633,0.0006510416666666666
2013,7,300.55344,-0.012654622395833334
2014,4,300.1476,-0.14457194010416666
2014,5,300.45776,0.09363810221354167
2014,6,300.48807,0.00238037109375
2014,7,300.56796,0.0018513997395833333
2015,4,300.4758,0.18359375
2015,5,300.44678,0.08265177408854167
2015,6,300.39398,-0.091705322265625
2015,7,300.54358,-0.022511800130208332
2016,4,300.50858,0.21636962890625
2016,5,300.61685,0.2527058919270833
2016,6,300.86752,0.3818257649739583
2016,7,300.83722,0.2711181640625
2025,4,300.74072,0.4485270182291667
2025,5,300.8,0.43585205078125
2025,6,300.9238,0.4381001790364583
2025,7,300.97897,0.412872314453125
