year,init_month,sst,rel_sst
1993,4,298.31116,-0.021453857421875
1993,5,298.3765,-0.015431722005208334
1993,6,298.39285,-0.06535847981770833
1993,7,298.45474,-0.09446207682291667
1994,4,298.15622,-0.17641194661458334
1994,5,298.1852,-0.20671590169270834
1994,6,298.32785,-0.13036092122395834
1994,7,298.31262,-0.23659261067708334
1995,4,298.20435,-0.12827555338541666
1995,5,298.2068,-0.18513997395833334
1995,6,298.32727,-0.13096110026041666
1995,7,298.51303,-0.03619384765625
1996,4,298.1688,-0.163818359375
1996,5,298.25864,-0.13330078125
1996,6,298.31662,-0.1416015625
1996,7,298.41785,-0.13138834635416666
1997,4,298.44824,0.115631103515625
1997,5,298.5524,0.16048177083333334
1997,6,298.628,0.169769287109375
1997,7,298.7187,0.169464111328125
1998,4,298.38293,0.050323486328125
1998,5,298.49362,0.10166422526041667
1998,6,298.56363,0.10541788736979167
1998,7,298.61194,0.06272379557291667
1999,4,298.1317,-0.20088704427083334
1999,5,298.13974,-0.2522074381510417
1999,6,298.24338,-0.21483357747395834
1999,7,298.31482,-0.234405517578125
2000,4,298.12985,-0.20276896158854166
2000,5,298.24768,-0.14426676432291666
2000,6,298.30002,-0.15822347005208334
2000,7,298.41537,-0.13383992513020834
2001,4,298.34402,0.011423746744791666
2001,5,298.41165,0.01971435546875
2001,6,298.45752,-0.0007120768229166666
2001,7,298.60934,0.060129801432291664
2002,4,298.49966,0.16705322265625
2002,5,298.538,0.14604695638020834
2002,6,298.5936,0.13535563151041666
2002,7,298.6738,0.12456258138020833
2003,4,298.3982,0.06557210286458333
2003,5,298.41785,0.025919596354166668
2003,6,298.50107,0.0428466796875
2003,7,298.68936,0.14015706380208334
2004,4,298.4916,0.15901692708333334
2004,5,298.55624,0.16429646809895834
2004,6,298.58484,0.12660725911458334
2004,7,298.63412,0.08488972981770833
2005,4,298.65707,0.3244730631510417
2005,5,298.71103,0.3190816243489583
2005,6,298.72,0.26177978515625
2005,7,298.77417,0.22493489583333334
2006,4,298.5399,0.20728556315104166
2006,5,298.6146,0.22264607747395834
2006,6,298.7051,0.24688720703125
2006,7,298.75217,0.20293172200520834
2007,4,298.53796,0.20534261067708334
2007,5,298.52588,0.133941650390625
2007,6,298.6261,0.16786702473958334
2007,7,298.70963,0.160400390625
2008,4,298.52237,0.18975830078125
2008,5,298.57095,0.17901611328125
2008,6,298.69934,0.241119384765625
2008,7,298.705,0.15575154622395834
2009,4,298.66327,0.330657958984375
2009,5,298.81137,0.4194437662760417
2009,6,298.8994,0.4412027994791667
2009,7,298.99796,0.4487202962239583
2010,4,298.7317,0.3990681966145833
2010,5,298.75647,0.3645222981770833
2010,6,298.79123,0.3330179850260417
2010,7,298.77173,0.22249348958333334
2011,4,298.6323,0.2996622721354167
2011,5,298.67685,0.2849222819010417
2011,6,298.67776,0.21954345703125
2011,7,298.67398,0.12477620442708333
2012,4,298.67215,0.3395284016927083
2012,5,298.68823,0.2962849934895833
2012,6,298.7755,0.3172810872395833
2012,7,298.82388,0.2746480305989583
2013,4,298.687,0.354400634765625
2013,5,298.7161,0.3241678873697917
2013,6,298.73923,0.281005859375
2013,7,298.73013,0.18089803059895834
2014,4,298.89062,0.5580240885416666
2014,5,298.93875,0.5468241373697916
2014,6,298.9448,0.4865620930989583
2014,7,298.94006,0.3908284505208333
2015,4,299.0037,0.6711018880208334
2015,5,299.11624,0.7242940266927084
2015,6,299.1216,0.6634114583333334
2015,7,299.1718,0.622589111328125
2016,4,298.93176,0.599151611328125
2016,5,298.95605,0.5641276041666666
2016,6,299.04617,0.5879618326822916
2016,7,299.0919,0.5426737467447916
2017,4,298.93008,0.5974833170572916
2017,5,298.99377,0.6018269856770834
2017,6,299.01837,0.560150146484375
2017,7,299.1075,0.5582682291666666
2018,4,298.7484,0.4157918294270833
2018,5,298.80142,0.4095052083333333
2018,6,298.87308,0.4148763020833333
2018,7,298.91367,0.3644307454427083
2025,4,299.09695,0.7643636067708334
2025,5,299.12527,0.7333475748697916
2025,6,299.1586,0.7003885904947916
2025,7,299.13284,0.5836385091145834
