year,init_month,sst,rel_sst
1993,4,298.6067,0.06519571940104167
1993,5,298.5612,0.00433349609375
1993,6,298.64352,0.0014546712239583333
1993,7,298.74158,-0.024058024088541668
1994,4,298.40454,-0.13695271809895834
1994,5,298.39896,-0.15788777669270834
1994,6,298.51807,-0.12398274739583333
1994,7,298.54843,-0.21718343098958334
1995,4,298.44635,-0.09515380859375
1995,5,298.52698,-0.029876708984375
1995,6,298.57095,-0.07109578450520833
1995,7,298.78983,0.024210611979166668
1996,4,298.47964,-0.061869303385416664
1996,5,298.48782,-0.06901041666666667
1996,6,298.54358,-0.098480224609375
1996,7,298.67575,-0.089874267578125
1997,4,298.6748,0.13330078125
1997,5,298.7352,0.1783447265625
1997,6,298.81775,0.17569986979166666
1997,7,298.99976,0.23414103190104166
1998,4,298.63156,0.090057373046875
1998,5,298.66907,0.11220296223958333
1998,6,298.7724,0.130340576171875
1998,7,298.8367,0.071075439453125
1999,4,298.2782,-0.2633056640625
1999,5,298.2927,-0.2641499837239583
1999,6,298.43512,-0.206939697265625
1999,7,298.52673,-0.23890177408854166
2000,4,298.35965,-0.18186442057291666
2000,5,298.41806,-0.13878377278645834
2000,6,298.48044,-0.16164143880208334
2000,7,298.59872,-0.16691080729166666
2001,4,298.54886,0.007344563802083333
2001,5,298.56473,0.007893880208333334
2001,6,298.62488,-0.017181396484375
2001,7,298.7869,0.021291097005208332
2002,4,298.6304,0.08890787760416667
2002,5,298.63834,0.08147176106770833
2002,6,298.7762,0.13414510091145834
2002,7,298.8563,0.09064737955729167
2003,4,298.53607,-0.00543212890625
2003,5,298.53122,-0.025624593098958332
2003,6,298.65738,0.015340169270833334
2003,7,298.873,0.10736083984375
2004,4,298.67532,0.13380940755208334
2004,5,298.657,0.10016886393229167
2004,6,298.70486,0.06280517578125
2004,7,298.78577,0.020131429036458332
2005,4,298.76764,0.22613525390625
2005,5,298.75748,0.20063273111979166
2005,6,298.8016,0.1595458984375
2005,7,298.9337,0.168060302734375
2006,4,298.67642,0.13493855794270834
2006,5,298.7081,0.15123494466145834
2006,6,298.80847,0.16642252604166666
2006,7,298.89255,0.12693277994791666
2007,4,298.57858,0.037089029947916664
2007,5,298.57498,0.01812744140625
2007,6,298.6433,0.0012613932291666667
2007,7,298.80295,0.037312825520833336
2008,4,298.5281,-0.013407389322916666
2008,5,298.6027,0.04583740234375
2008,6,298.71085,0.06879679361979167
2008,7,298.78232,0.016703287760416668
2009,4,298.6835,0.14201863606770834
2009,5,298.8058,0.24894205729166666
2009,6,298.9276,0.2855631510416667
2009,7,299.08548,0.3198649088541667
2010,4,298.74405,0.20253499348958334
2010,5,298.7253,0.16844685872395834
2010,6,298.7849,0.14286295572916666
2010,7,298.85312,0.08748372395833333
2011,4,298.66666,0.12514241536458334
2011,5,298.67816,0.121307373046875
2011,6,298.70633,0.06428019205729167
2011,7,298.77115,0.005544026692708333
2012,4,298.75208,0.21056111653645834
2012,5,298.73795,0.18111165364583334
2012,6,298.8287,0.1866455078125
2012,7,298.87314,0.10750325520833333
2013,4,298.71487,0.173370361328125
2013,5,298.73215,0.17528279622395834
2013,6,298.76447,0.122406005859375
2013,7,298.83542,0.06977335611979167
2014,4,298.87735,0.3358561197916667
2014,5,298.9374,0.3805440266927083
2014,6,298.912,0.269927978515625
2014,7,298.99008,0.224456787109375
2015,4,298.97763,0.436126708984375
2015,5,299.13943,0.5826009114583334
2015,6,299.13962,0.4975484212239583
2015,7,299.2581,0.492462158203125
2016,4,298.8663,0.324798583984375
2016,5,298.89517,0.3383280436197917
2016,6,299.00037,0.3582967122395833
2016,7,299.1418,0.3761698404947917
2021,4,298.89462,0.3531087239583333
2021,5,298.9461,0.389251708984375
2021,6,299.05164,0.4095865885416667
2021,7,299.09775,0.3321024576822917
2022,4,298.7559,0.21439615885416666
2022,5,298.72284,0.165985107421875
2022,6,298.89658,0.2545064290364583
2022,7,298.9076,0.1419677734375
2023,4,299.15366,0.612152099609375
2023,5,299.26126,0.7043965657552084
2023,6,299.29214,0.6500752766927084
2023,7,299.37988,0.6142578125
2024,4,299.02615,0.4846598307291667
2024,5,299.09167,0.534820556640625
2024,6,299.1345,0.4924112955729167
2024,7,299.24326,0.477630615234375
2025,4,299.02554,0.4840494791666667
2025,5,299.01608,0.4592386881510417
2025,6,299.09903,0.45697021484375
2025,7,299.1135,0.3478495279947917
