year,init_month,sst,rel_sst
1993,4,298.3496,0.151885986328125
1993,5,298.25427,0.110107421875
1993,6,298.25107,0.099090576171875
1993,7,298.20105,0.037058512369791664
1994,4,298.22717,0.029439290364583332
1994,5,298.2173,0.07310994466145833
1994,6,298.17822,0.0262451171875
1994,7,298.18924,0.025227864583333332
1995,4,298.28745,0.08973185221354167
1995,5,298.17032,0.026153564453125
1995,6,298.25586,0.10387166341145833
1995,7,298.25916,0.09514363606770833
1996,4,298.05905,-0.13868204752604166
1996,5,297.99323,-0.15093994140625
1996,6,298.0118,-0.14018758138020834
1996,7,298.00406,-0.159942626953125
1997,4,298.0767,-0.12102254231770833
1997,5,298.10837,-0.035786946614583336
1997,6,298.1736,0.021636962890625
1997,7,298.24933,0.0853271484375
1998,4,298.3253,0.12754313151041666
1998,5,298.29166,0.14748128255208334
1998,6,298.3026,0.150634765625
1998,7,298.2514,0.08740234375
1999,4,297.91977,-0.2779541015625
1999,5,297.87503,-0.2691446940104167
1999,6,297.85358,-0.29840087890625
1999,7,297.8619,-0.3020833333333333
2000,4,298.0126,-0.18512980143229166
2000,5,297.93845,-0.20570882161458334
2000,6,297.96103,-0.19096883138020834
2000,7,297.93335,-0.23066202799479166
2001,4,298.2018,0.004079182942708333
2001,5,298.14432,0.00016276041666666666
2001,6,298.1044,-0.047587076822916664
2001,7,298.09512,-0.06886800130208333
2002,4,298.34366,0.14594523111979166
2002,5,298.27518,0.13100179036458334
2002,6,298.2272,0.07521565755208333
2002,7,298.27368,0.10969034830729167
2003,4,298.23538,0.037679036458333336
2003,5,298.2145,0.07033284505208333
2003,6,298.2748,0.122833251953125
2003,7,298.38785,0.22383626302083334
2004,4,298.27628,0.07854207356770833
2004,5,298.2014,0.057230631510416664
2004,6,298.16312,0.011128743489583334
2004,7,298.18634,0.0223388671875
2005,4,298.25558,0.057861328125
2005,5,298.1901,0.045928955078125
2005,6,298.2183,0.066314697265625
2005,7,298.23953,0.075531005859375
2006,4,298.12973,-0.06801350911458333
2006,5,298.1051,-0.0390625
2006,6,298.06912,-0.082855224609375
2006,7,298.09088,-0.0731201171875
2007,4,298.0731,-0.12464396158854167
2007,5,297.9949,-0.149261474609375
2007,6,297.98605,-0.16591389973958334
2007,7,298.04352,-0.1204833984375
2008,4,297.9639,-0.23382568359375
2008,5,297.97195,-0.17220052083333334
2008,6,297.94183,-0.21014404296875
2008,7,297.99362,-0.17039998372395834
2009,4,298.06873,-0.128997802734375
2009,5,298.11832,-0.025838216145833332
2009,6,298.18808,0.036081949869791664
2009,7,298.25607,0.09208170572916667
2010,4,298.2047,0.006988525390625
2010,5,298.20386,0.0596923828125
2010,6,298.17548,0.02349853515625
2010,7,298.12036,-0.043650309244791664
2011,4,298.0016,-0.19614664713541666
2011,5,298.007,-0.137176513671875
2011,6,297.91196,-0.24003092447916666
2011,7,297.94708,-0.2169189453125
2012,4,297.90976,-0.2879740397135417
2012,5,297.91858,-0.22559611002604166
2012,6,297.87955,-0.2724100748697917
2012,7,297.944,-0.22001139322916666
2013,4,298.0823,-0.11542765299479167
2013,5,298.04398,-0.10016886393229167
2013,6,297.97244,-0.17952473958333334
2013,7,297.99838,-0.16562906901041666
2014,4,298.23557,0.037841796875
2014,5,298.2042,0.060017903645833336
2014,6,298.21732,0.06532796223958333
2014,7,298.19708,0.0330810546875
2015,4,298.20676,0.009023030598958334
2015,5,298.20798,0.063812255859375
2015,6,298.2571,0.105133056640625
2015,7,298.293,0.12901814778645834
2016,4,298.39404,0.19632975260416666
2016,5,298.41013,0.2659708658854167
2016,6,298.40024,0.24825032552083334
2016,7,298.4046,0.2406005859375
2017,4,298.2661,0.06840006510416667
2017,5,298.2233,0.079132080078125
2017,6,298.18665,0.034657796223958336
2017,7,298.21887,0.05487060546875
2018,4,298.08115,-0.11658732096354167
2018,5,298.02664,-0.11753336588541667
2018,6,298.05142,-0.100555419921875
2018,7,298.0698,-0.09419759114583333
2019,4,298.34488,0.14717610677083334
2019,5,298.32767,0.18349202473958334
2019,6,298.32346,0.17146809895833334
2019,7,298.3346,0.17060343424479166
2020,4,298.26138,0.06368001302083333
2020,5,298.24176,0.09759521484375
2020,6,298.16476,0.012766520182291666
2020,7,298.25027,0.08626302083333333
2021,4,298.01047,-0.18727620442708334
2021,5,297.96475,-0.17942301432291666
2021,6,297.94516,-0.20682779947916666
2021,7,297.97,-0.194000244140625
2022,4,298.02722,-0.170501708984375
2022,5,297.93893,-0.205230712890625
2022,6,297.9458,-0.20616658528645834
2022,7,297.8815,-0.2824808756510417
2023,4,298.25534,0.057627360026041664
2023,5,298.23453,0.09035237630208333
2023,6,298.2999,0.14790852864583334
2023,7,298.31766,0.15367635091145834
2025,4,298.3832,0.18547566731770834
2025,5,298.29947,0.155303955078125
2025,6,298.1809,0.028940836588541668
2025,7,298.14774,-0.016265869140625
