year,init_month,sst,rel_sst
1993,4,298.05603,-0.015970865885416668
1993,5,298.19287,-0.006601969401041667
1993,6,298.32614,-0.022552490234375
1993,7,298.46933,-0.07198079427083333
1994,4,297.92715,-0.14484659830729166
1994,5,298.0488,-0.15067545572916666
1994,6,298.18228,-0.16640218098958334
1994,7,298.35513,-0.18616739908854166
1995,4,298.00833,-0.06365966796875
1995,5,298.16794,-0.031545003255208336
1995,6,298.32083,-0.027872721354166668
1995,7,298.59146,0.0501708984375
1996,4,297.90103,-0.17096964518229166
1996,5,298.04868,-0.15077718098958334
1996,6,298.18112,-0.16758219401041666
1996,7,298.4248,-0.11649576822916667
1997,4,298.17624,0.10425821940104167
1997,5,298.3643,0.16484578450520834
1997,6,298.57294,0.2242431640625
1997,7,298.73087,0.1895751953125
1998,4,298.167,0.09499104817708333
1998,5,298.29852,0.09906005859375
1998,6,298.44067,0.09196980794270833
1998,7,298.609,0.06772867838541667
1999,4,297.89688,-0.17510986328125
1999,5,298.0219,-0.17755126953125
1999,6,298.16956,-0.17914835611979166
1999,7,298.34323,-0.19807942708333334
2000,4,297.99472,-0.0772705078125
2000,5,298.1072,-0.092254638671875
2000,6,298.2123,-0.13639322916666666
2000,7,298.42654,-0.11475626627604167
2001,4,298.1225,0.050506591796875
2001,5,298.24258,0.043131510416666664
2001,6,298.38745,0.038747151692708336
2001,7,298.6008,0.05950927734375
2002,4,298.23605,0.1640625
2002,5,298.37106,0.17159016927083334
2002,6,298.48535,0.13666788736979166
2002,7,298.6591,0.11781819661458333
2003,4,298.1145,0.042510986328125
2003,5,298.19406,-0.005401611328125
2003,6,298.42032,0.07164510091145833
2003,7,298.60632,0.06502278645833333
2004,4,298.14218,0.0701904296875
2004,5,298.21973,0.020253499348958332
2004,6,298.36392,0.015228271484375
2004,7,298.57925,0.037953694661458336
2005,4,298.19333,0.121337890625
2005,5,298.3154,0.11591593424479167
2005,6,298.47043,0.12172444661458333
2005,7,298.64087,0.09958902994791667
2006,4,298.19644,0.12444051106770833
2006,5,298.3014,0.10191853841145833
2006,6,298.4534,0.10469563802083333
2006,7,298.65097,0.10968017578125
2007,4,298.12527,0.053304036458333336
2007,5,298.19022,-0.009246826171875
2007,6,298.33548,-0.013214111328125
2007,7,298.55002,0.008738199869791666
2008,4,298.0796,0.007588704427083333
2008,5,298.22278,0.023325602213541668
2008,6,298.33957,-0.009114583333333334
2008,7,298.53458,-0.006703694661458333
2009,4,298.25705,0.18503824869791666
2009,5,298.43756,0.23809814453125
2009,6,298.6351,0.2863972981770833
2009,7,298.81128,0.269989013671875
2010,4,298.2535,0.1815185546875
2010,5,298.3601,0.16065470377604166
2010,6,298.42557,0.07688395182291667
2010,7,298.5469,0.005615234375
2011,4,298.1815,0.10948689778645833
2011,5,298.26935,0.06988525390625
2011,6,298.39804,0.049336751302083336
2011,7,298.48148,-0.059804280598958336
2012,4,298.2394,0.16743977864583334
2012,5,298.33142,0.1319580078125
2012,6,298.50894,0.160247802734375
2012,7,298.6165,0.0751953125
2013,4,298.23856,0.16657511393229166
2013,5,298.3879,0.18845621744791666
2013,6,298.45294,0.104248046875
2013,7,298.6123,0.07102457682291667
2014,4,298.41174,0.3397420247395833
2014,5,298.52554,0.326080322265625
2014,6,298.62662,0.2779134114583333
2014,7,298.72058,0.17930094401041666
2015,4,298.5671,0.4950968424479167
2015,5,298.7168,0.5173238118489584
2015,6,298.82877,0.4800821940104167
2015,7,299.0423,0.501007080078125
2016,4,298.48416,0.4121602376302083
2016,5,298.57498,0.375518798828125
2016,6,298.7548,0.4061177571614583
2016,7,298.90787,0.3665771484375
2017,4,298.46103,0.3890380859375
2017,5,298.5676,0.368133544921875
2017,6,298.72092,0.3722127278645833
2017,7,298.873,0.331695556640625
2018,4,298.35324,0.28125
2018,5,298.48642,0.2869466145833333
2018,6,298.59726,0.24854532877604166
2018,7,298.74612,0.20482381184895834
2019,4,298.49753,0.425537109375
2019,5,298.62183,0.4223531087239583
2019,6,298.7412,0.3925272623697917
2019,7,298.9346,0.3933308919270833
2020,4,298.46033,0.388336181640625
2020,5,298.54245,0.3429667154947917
2020,6,298.71695,0.3682759602864583
2020,7,298.8497,0.3084004720052083
2021,4,298.35672,0.2847493489583333
2021,5,298.4783,0.2788492838541667
2021,6,298.6378,0.289093017578125
2021,7,298.72983,0.18851725260416666
2022,4,298.29282,0.2208251953125
2022,5,298.356,0.156524658203125
2022,6,298.5107,0.16200764973958334
2022,7,298.58276,0.041463216145833336
2023,4,298.6154,0.5433858235677084
2023,5,298.76587,0.5663960774739584
2023,6,298.96347,0.614776611328125
2023,7,299.09937,0.558074951171875
2024,4,298.56033,0.4883626302083333
2024,5,298.69308,0.4936319986979167
2024,6,298.8566,0.5078938802083334
2024,7,298.8048,0.2635091145833333
2025,4,298.4812,0.4092203776041667
2025,5,298.63345,0.4339803059895833
2025,6,298.77676,0.4280802408854167
2025,7,298.86523,0.323944091796875
