year,init_month,sst,rel_sst
1993,4,298.41342,-0.07776896158854167
1993,5,298.45227,-0.051564534505208336
1993,6,298.49045,-0.034444173177083336
1993,7,298.4683,-0.11191813151041667
1994,4,298.37088,-0.12029012044270833
1994,5,298.43033,-0.07352701822916667
1994,6,298.3575,-0.16737874348958334
1994,7,298.3516,-0.2286376953125
1995,4,298.36124,-0.12995402018229166
1995,5,298.4197,-0.08412679036458333
1995,6,298.43985,-0.08504231770833333
1995,7,298.61594,0.035715738932291664
1996,4,298.4398,-0.051401774088541664
1996,5,298.39865,-0.105194091796875
1996,6,298.47433,-0.050587972005208336
1996,7,298.509,-0.07122802734375
1997,4,298.61606,0.1248779296875
1997,5,298.66147,0.157623291015625
1997,6,298.7269,0.20197550455729166
1997,7,298.78735,0.20713297526041666
1998,4,298.56406,0.07286580403645833
1998,5,298.59628,0.09242757161458333
1998,6,298.67868,0.153778076171875
1998,7,298.68185,0.10163370768229167
1999,4,298.30762,-0.18357340494791666
1999,5,298.31253,-0.191314697265625
1999,6,298.33798,-0.18693033854166666
1999,7,298.39377,-0.18647257486979166
2000,4,298.4205,-0.07068888346354167
2000,5,298.4241,-0.07972208658854167
2000,6,298.43127,-0.0936279296875
2000,7,298.4407,-0.13953653971354166
2001,4,298.5565,0.06528727213541667
2001,5,298.55945,0.055613199869791664
2001,6,298.58673,0.06182861328125
2001,7,298.6705,0.09028116861979167
2002,4,298.60495,0.11376953125
2002,5,298.61206,0.10821533203125
2002,6,298.6067,0.08177693684895833
2002,7,298.66544,0.085205078125
2003,4,298.47485,-0.016316731770833332
2003,5,298.46115,-0.042694091796875
2003,6,298.48648,-0.038431803385416664
2003,7,298.63724,0.0570068359375
2004,4,298.59262,0.10143025716145833
2004,5,298.613,0.10917154947916667
2004,6,298.59595,0.07103474934895833
2004,7,298.63016,0.049947102864583336
2005,4,298.66306,0.171875
2005,5,298.60876,0.10492960611979167
2005,6,298.61093,0.08603922526041667
2005,7,298.69107,0.11082967122395833
2006,4,298.54086,0.049692789713541664
2006,5,298.62338,0.11954752604166667
2006,6,298.63647,0.11158243815104167
2006,7,298.6689,0.08866373697916667
2007,4,298.4635,-0.027669270833333332
2007,5,298.50537,0.0015360514322916667
2007,6,298.49918,-0.025716145833333332
2007,7,298.5929,0.012674967447916666
2008,4,298.39548,-0.09569295247395833
2008,5,298.42142,-0.082427978515625
2008,6,298.5151,-0.009796142578125
2008,7,298.55637,-0.023874918619791668
2009,4,298.62146,0.13028971354166666
2009,5,298.69736,0.193511962890625
2009,6,298.77042,0.24553426106770834
2009,7,298.8849,0.3046671549479167
2010,4,298.62976,0.13859049479166666
2010,5,298.68735,0.18348185221354166
2010,6,298.61758,0.09267171223958333
2010,7,298.63943,0.059224446614583336
2011,4,298.51456,0.023386637369791668
2011,5,298.55286,0.049001057942708336
2011,6,298.5469,0.022013346354166668
2011,7,298.5818,0.0015462239583333333
2012,4,298.62747,0.13628133138020834
2012,5,298.66663,0.16278076171875
2012,6,298.6962,0.17130533854166666
2012,7,298.66913,0.088897705078125
2013,4,298.65308,0.16188557942708334
2013,5,298.68054,0.17669677734375
2013,6,298.66013,0.135223388671875
2013,7,298.62268,0.042460123697916664
2014,4,298.81387,0.3227030436197917
2014,5,298.8104,0.3065287272135417
2014,6,298.80606,0.2811686197916667
2014,7,298.7865,0.20627848307291666
2015,4,298.97946,0.4882914225260417
2015,5,299.01785,0.514007568359375
2015,6,299.01196,0.4870707194010417
2015,7,299.0586,0.4783528645833333
2016,4,298.92957,0.4383951822916667
2016,5,298.86902,0.3651835123697917
2016,6,298.86295,0.338043212890625
2016,7,298.94675,0.36651611328125
2017,4,298.9109,0.419708251953125
2017,5,298.86432,0.3604736328125
2017,6,298.8541,0.3291727701822917
2017,7,298.97342,0.3931986490885417
2018,4,298.64337,0.152191162109375
2018,5,298.69406,0.19020589192708334
2018,6,298.64645,0.121551513671875
2018,7,298.7367,0.156463623046875
2019,4,299.00574,0.514556884765625
2019,5,298.96567,0.461822509765625
2019,6,298.86987,0.3449605305989583
2019,7,298.96216,0.381927490234375
2020,4,298.84097,0.3498128255208333
2020,5,298.9197,0.4158833821614583
2020,6,298.84906,0.32415771484375
2020,7,298.85635,0.2761332194010417
2022,4,298.6404,0.14923095703125
2022,5,298.5875,0.08363850911458333
2022,6,298.60208,0.07716878255208333
2022,7,298.6633,0.08305867513020833
2023,4,298.93246,0.4412841796875
2023,5,299.01355,0.5097147623697916
2023,6,299.0312,0.50628662109375
2023,7,299.13272,0.5524800618489584
2024,4,298.90048,0.4093017578125
2024,5,298.90506,0.401214599609375
2024,6,298.91013,0.3852132161458333
2024,7,298.99292,0.4126993815104167
2025,4,298.86728,0.3761088053385417
2025,5,298.86624,0.362396240234375
2025,6,298.85913,0.3342183430989583
2025,7,298.8678,0.2875569661458333
