year,init_month,sst,rel_sst
1993,4,298.5171,-0.059254964192708336
1993,5,298.41507,-0.13968912760416666
1993,6,298.43704,-0.1318359375
1993,7,298.4611,-0.17798868815104166
1994,4,298.38943,-0.18690999348958334
1994,5,298.3859,-0.16886393229166666
1994,6,298.41367,-0.15522257486979166
1994,7,298.43124,-0.207855224609375
1995,4,298.43393,-0.142425537109375
1995,5,298.43082,-0.12391153971354167
1995,6,298.47733,-0.09154256184895833
1995,7,298.61227,-0.026824951171875
1996,4,298.49548,-0.08088175455729167
1996,5,298.50833,-0.046396891276041664
1996,6,298.45663,-0.11223347981770833
1996,7,298.54343,-0.09566243489583333
1997,4,298.64682,0.07045491536458333
1997,5,298.66672,0.11195882161458333
1997,6,298.72757,0.15868123372395834
1997,7,298.7777,0.13861083984375
1998,4,298.53833,-0.038014729817708336
1998,5,298.5552,0.0004679361979166667
1998,6,298.5618,-0.007090250651041667
1998,7,298.60498,-0.034108479817708336
1999,4,298.4105,-0.16585286458333334
1999,5,298.40848,-0.14625040690104166
1999,6,298.41318,-0.15569051106770834
1999,7,298.45627,-0.18285115559895834
2000,4,298.47958,-0.09679158528645833
2000,5,298.45825,-0.09650675455729167
2000,6,298.4406,-0.128265380859375
2000,7,298.51187,-0.12720743815104166
2001,4,298.7087,0.13236490885416666
2001,5,298.65775,0.102996826171875
2001,6,298.62183,0.052958170572916664
2001,7,298.71576,0.07666015625
2002,4,298.7217,0.14537556966145834
2002,5,298.68448,0.12974039713541666
2002,6,298.68677,0.11787923177083333
2002,7,298.78485,0.145751953125
2003,4,298.60214,0.025787353515625
2003,5,298.5831,0.028340657552083332
2003,6,298.65543,0.08656819661458333
2003,7,298.77878,0.13966878255208334
2004,4,298.83383,0.2574666341145833
2004,5,298.7092,0.15445963541666666
2004,6,298.73706,0.16817220052083334
2004,7,298.77954,0.14044189453125
2005,4,298.715,0.13866170247395834
2005,5,298.74832,0.19356282552083334
2005,6,298.76648,0.197601318359375
2005,7,298.85037,0.211273193359375
2006,4,298.7919,0.21556599934895834
2006,5,298.72794,0.173187255859375
2006,6,298.77316,0.20426432291666666
2006,7,298.85388,0.21477254231770834
2007,4,298.6766,0.10024007161458333
2007,5,298.58975,0.035024007161458336
2007,6,298.57086,0.001983642578125
2007,7,298.7413,0.10218302408854167
2008,4,298.59024,0.013905843098958334
2008,5,298.59637,0.0416259765625
2008,6,298.6505,0.08162434895833333
2008,7,298.7398,0.1007080078125
2009,4,298.8522,0.2758382161458333
2009,5,298.87366,0.3189188639322917
2009,6,298.8959,0.3270263671875
2009,7,299.0612,0.422088623046875
2010,4,298.9379,0.3615620930989583
2010,5,298.88806,0.33331298828125
2010,6,298.8717,0.3028157552083333
2010,7,298.87524,0.23615519205729166
2011,4,298.86362,0.2872416178385417
2011,5,298.8575,0.3027547200520833
2011,6,298.7869,0.21803792317708334
2011,7,298.79922,0.16011555989583334
2012,4,298.86136,0.2849934895833333
2012,5,298.79712,0.24236043294270834
2012,6,298.797,0.228118896484375
2012,7,298.89407,0.254974365234375
2013,4,298.76996,0.193603515625
2013,5,298.79166,0.236907958984375
2013,6,298.7991,0.230224609375
2013,7,298.82858,0.18949381510416666
2014,4,298.86685,0.2904866536458333
2014,5,298.866,0.311248779296875
2014,6,298.84677,0.2779032389322917
2014,7,298.87488,0.23576863606770834
2015,4,298.94833,0.3719889322916667
2015,5,299.04935,0.4946187337239583
2015,6,299.07358,0.5046793619791666
2015,7,299.13818,0.49908447265625
2016,4,298.81522,0.23888142903645834
2016,5,298.9039,0.3491414388020833
2016,6,298.97885,0.4099833170572917
2016,7,299.0851,0.4460347493489583
2020,4,298.89615,0.3198140462239583
2020,5,298.9049,0.35015869140625
2020,6,298.97058,0.401702880859375
2020,7,299.02405,0.3849385579427083
2021,4,298.88522,0.3088480631510417
2021,5,298.91238,0.3576253255208333
2021,6,298.94125,0.3723551432291667
2021,7,299.00943,0.3703206380208333
2022,4,298.74576,0.16942342122395834
2022,5,298.75363,0.198883056640625
2022,6,298.8462,0.2773030598958333
2022,7,298.89444,0.2553304036458333
2023,4,299.15775,0.5813802083333334
2023,5,299.19852,0.6437581380208334
2023,6,299.20105,0.6321614583333334
2023,7,299.25198,0.612884521484375
2024,4,299.0129,0.4365336100260417
2024,5,299.04715,0.4924112955729167
2024,6,299.0636,0.494720458984375
2024,7,299.12793,0.4888407389322917
2025,4,298.99048,0.4141133626302083
2025,5,298.95566,0.4008890787760417
2025,6,299.00262,0.433746337890625
2025,7,299.0311,0.3919779459635417
