year,init_month,sst,rel_sst
1981,2,299.15997,-0.078552246
1981,3,299.0809,-0.10738119
1981,4,299.03156,-0.11706543
1981,5,298.97675,-0.1005249
1981,6,298.96594,-0.024749756
1981,7,298.87024,-0.056915283
1981,8,298.77164,-0.06055705
1982,1,298.92178,-0.24761963
1982,2,298.92795,-0.31056723
1982,3,299.0125,-0.17578125
1982,4,298.8898,-0.25880942
1982,5,298.8787,-0.1985677
1982,6,298.91226,-0.07840983
1982,7,298.89676,-0.03040568
1982,8,298.72586,-0.10633341
1983,1,299.03644,-0.13298035
1983,2,299.12454,-0.113993324
1983,3,299.0734,-0.11490885
1983,4,299.14365,-0.0049743652
1983,5,299.1422,0.06495158
1983,6,299.07785,0.087137856
1983,7,298.95468,0.027516684
1983,8,298.768,-0.064208984
1984,1,298.94543,-0.22398376
1984,2,298.99542,-0.24310303
1984,3,298.97772,-0.21057129
1984,4,298.87466,-0.2739563
1984,5,298.78745,-0.28981528
1984,6,298.67,-0.3206787
1984,7,298.66064,-0.26651
1984,8,298.57178,-0.26044717
1985,1,298.95074,-0.2186737
1985,2,298.98413,-0.25439453
1985,3,298.81506,-0.37322998
1985,4,298.82095,-0.32764688
1985,5,298.6085,-0.46879068
1985,6,298.6495,-0.34117636
1985,7,298.64728,-0.2798767
1985,8,298.51318,-0.31903076
1986,1,298.98267,-0.1867218
1986,2,299.15903,-0.07949829
1986,3,299.05103,-0.13727824
1986,4,298.9574,-0.19121297
1986,5,298.9387,-0.13860066
1986,6,298.7813,-0.2093811
1986,7,298.78378,-0.1433614
1986,8,298.76877,-0.06346639
1987,1,299.0958,-0.0736084
1987,2,299.30017,0.06165568
1987,3,299.26205,0.07377116
1987,4,299.22586,0.07726034
1987,5,299.23874,0.1614685
1987,6,299.05154,0.06085205
1987,7,299.01904,0.09188843
1987,8,299.01697,0.18475342
1988,1,299.04297,-0.12644958
1988,2,298.97903,-0.2594808
1988,3,298.9592,-0.2291158
1988,4,298.9211,-0.22749837
1988,5,298.7987,-0.27856445
1988,6,298.7677,-0.22299194
