year,init_month,sst,rel_sst
1982,1,298.2941,0.15661621
1982,2,298.21002,0.07394409
1982,3,298.1003,-0.06577555
1982,4,298.0363,-0.12566121
1982,5,298.0082,-0.11408691
1982,6,298.09827,-0.008056641
1982,7,298.1002,-0.03700765
1982,8,298.11694,-0.10035197
1983,1,297.9789,-0.158549
1983,2,297.98544,-0.15064494
1983,3,297.9673,-0.19878133
1983,4,298.04727,-0.11469523
1983,5,298.08865,-0.03363037
1983,6,298.0956,-0.010721843
1983,7,298.06125,-0.075937904
1983,8,298.0437,-0.17358398
1984,1,297.89676,-0.24073283
1984,2,297.86588,-0.27019247
1984,3,297.8452,-0.32085165
1984,4,297.7647,-0.3972473
1984,5,297.7752,-0.34708863
1984,6,297.77664,-0.3296814
1984,7,297.82462,-0.31254068
1984,8,297.87228,-0.34499106
1985,1,297.89258,-0.24490356
1985,2,297.81296,-0.32313028
1985,3,297.7947,-0.3713684
1985,4,297.7698,-0.39215088
1985,5,297.74115,-0.38115233
1985,6,297.74023,-0.36609903
1985,7,297.85764,-0.27954102
1985,8,297.8983,-0.31900024
1986,1,297.96863,-0.16885376
1986,2,298.0864,-0.049672443
1986,3,298.03848,-0.12760417
1986,4,298.04684,-0.115112305
1986,5,297.99344,-0.12885132
1986,6,297.92007,-0.18624878
1986,7,297.9799,-0.15727742
1986,8,298.05264,-0.164622
1987,1,298.13095,-0.006551107
1987,2,298.14676,0.010701497
1987,3,298.25244,0.086374916
1987,4,298.22183,0.05987549
1987,5,298.21982,0.09753418
1987,6,298.17917,0.07283529
1987,7,298.20047,0.06329346
1987,8,298.38345,0.16617839
1988,1,298.032,-0.10547892
1988,2,298.04977,-0.08629354
1988,3,297.96732,-0.19875081
1988,4,297.97644,-0.18550618
1988,5,297.95782,-0.16446534
1988,6,298.0269,-0.079447426
1988,7,297.99463,-0.14253743
1988,8,298.0591,-0.15816243
1989,1,297.9921,-0.14539592
1989,2,298.08972,-0.046366375
1989,3,298.10666,-0.0594279
1989,4,298.01822,-0.14372762
1989,5,297.9299,-0.19237061
1989,6,297.87943,-0.22690837
1989,7,297.9519,-0.18526204
1989,8,298.0281,-0.18916829
1990,1,298.16476,0.02726237
1990,2,298.28992,0.15384929
1990,3,298.4065,0.24041748
1990,4,298.2615,0.09955851
1990,5,298.14905,0.026757812
1990,6,298.13196,0.025634766
1990,7,298.09567,-0.041493732
1990,8,298.2068,-0.010487874
1991,1,298.14767,0.010203044
1991,2,298.15427,0.018178305
1991,3,298.19254,0.026448568
1991,4,298.19254,0.030598959
1991,5,298.20703,0.084747314
1991,6,298.21555,0.10922241
1991,7,298.25845,0.121287026
1991,8,298.3209,0.10361735
1992,1,298.19696,0.05947876
1992,2,298.0862,-0.049865723
1992,3,298.15298,-0.013092041
1992,4,298.15958,-0.0023905437
1992,5,298.13693,0.014660644
1992,6,298.07474,-0.03157552
1992,7,298.01883,-0.11835734
1992,8,298.07535,-0.14192708
1993,1,298.0094,-0.1280721
1993,2,298.04657,-0.08950806
1993,3,298.16245,-0.0036214192
1993,4,298.17657,0.01461792
1993,5,298.08218,-0.040100098
1993,6,298.04227,-0.0640564
1993,7,298.01523,-0.12195841
1993,8,298.098,-0.11930338
1994,1,298.01743,-0.12004598
1994,2,297.94653,-0.1895345
1994,3,297.94556,-0.22050984
1994,4,298.0698,-0.092152916
1994,5,298.04706,-0.07521973
1994,6,298.04227,-0.06406657
1994,7,298.03223,-0.10494995
1994,8,298.08792,-0.12936401
1995,1,298.14938,0.011912028
1995,2,298.19687,0.06080119
1995,3,298.0928,-0.073262535
1995,4,298.0903,-0.07165527
1995,5,298.08124,-0.041064452
1995,6,298.11185,0.005544027
1995,7,298.23538,0.09821574
1995,8,298.30807,0.090799965
1996,1,298.21106,0.07358805
1996,2,298.10745,-0.02863566
1996,3,298.2244,0.058339436
1996,4,298.17038,0.008412679
1996,5,298.1202,-0.002069092
1996,6,298.02823,-0.078074135
1996,7,298.08334,-0.053822834
1996,8,298.08804,-0.1292216
1997,1,298.22504,0.08755493
1997,2,298.13864,0.0025736492
1997,3,298.28232,0.116251625
1997,4,298.37314,0.2111613
1997,5,298.3676,0.2453125
1997,6,298.39282,0.28649902
1997,7,298.38443,0.2472636
1997,8,298.501,0.28372192
1998,1,298.1134,-0.024088541
1998,2,298.05185,-0.084218346
1998,3,298.1377,-0.02839152
1998,4,298.13895,-0.023020426
1998,5,298.1302,0.007904053
1998,6,298.11475,0.008412679
1998,7,298.1696,0.032399494
1998,8,298.2603,0.043029785
1999,1,298.09818,-0.03930664
1999,2,298.08813,-0.04793294
1999,3,298.10947,-0.05662028
1999,4,298.03918,-0.12276205
1999,5,297.99426,-0.12802124
1999,6,297.98514,-0.121164955
1999,7,298.002,-0.13516235
1999,8,298.10867,-0.10859171
2000,1,298.13968,0.002187093
2000,2,298.14127,0.0052083335
2000,3,298.12543,-0.040649414
2000,4,298.17014,0.008178711
2000,5,298.12372,0.0014404297
2000,6,298.01276,-0.093566895
2000,7,298.0652,-0.07200114
2000,8,298.1335,-0.08376058
2001,1,298.35947,0.22197469
2001,2,298.36304,0.2269694
2001,3,298.37943,0.21333821
2001,4,298.46964,0.30769858
2001,5,298.32574,0.2034607
2001,6,298.2712,0.16489665
2001,7,298.31567,0.17850749
2001,8,298.40378,0.18647258
2002,1,298.2385,0.10100301
2002,2,298.36768,0.2315979
2002,3,298.49063,0.3245646
2002,4,298.41855,0.25658163
2002,5,298.43375,0.31145018
2002,6,298.34793,0.24160767
2002,7,298.43057,0.29340616
2002,8,298.54504,0.32774863
2003,1,298.25784,0.12035116
2003,2,298.22388,0.0877889
2003,3,298.27255,0.10645548
2003,4,298.2739,0.11192831
2003,5,298.2204,0.09811401
2003,6,298.27646,0.17014568
2003,7,298.3651,0.22793579
2003,8,298.5402,0.32292685
2004,1,298.35544,0.2179362
2004,2,298.38962,0.2535502
2004,3,298.52756,0.36147055
2004,4,298.55664,0.39468384
2004,5,298.39487,0.272583
2004,6,298.41187,0.30555215
2004,7,298.4346,0.29741415
2004,8,298.5262,0.3089396
2005,1,298.4294,0.29194131
2005,2,298.4268,0.29071045
2005,3,298.4109,0.24481201
2005,4,298.44434,0.282369
2005,5,298.40656,0.28424683
2005,6,298.3754,0.26908365
2005,7,298.41516,0.27799478
2005,8,298.55655,0.33925375
2006,1,298.35114,0.21365356
2006,2,298.35703,0.22095744
2006,3,298.5356,0.36953735
2006,4,298.46143,0.29947916
2006,5,298.4127,0.29041138
2006,6,298.4053,0.29900107
2006,7,298.4545,0.3173116
2006,8,298.531,0.31371054
2007,1,298.3535,0.21599324
2007,2,298.24756,0.11149088
2007,3,298.327,0.16090901
2007,4,298.3254,0.16343181
2007,5,298.22296,0.100665286
2007,6,298.15488,0.04856364
2007,7,298.2975,0.16031902
2007,8,298.38156,0.16425578
2008,1,298.13412,-0.003346761
2008,2,298.19125,0.055185955
2008,3,298.228,0.061920166
2008,4,298.27304,0.111073814
2008,5,298.25116,0.12888794
2008,6,298.24136,0.13506062
2008,7,298.3259,0.18871053
2008,8,298.42746,0.21016438
2009,1,298.48813,0.35064697
2009,2,298.52087,0.38479614
2009,3,298.54803,0.381958
2009,4,298.57153,0.40957642
2009,5,298.55414,0.43187866
2009,6,298.51572,0.40938315
2009,7,298.65152,0.5143636
2009,8,298.7102,0.49293008
2010,1,298.425,0.2875061
2010,2,298.4504,0.3143209
2010,3,298.58813,0.42204794
2010,4,298.6216,0.4596456
2010,5,298.5471,0.4248047
2010,6,298.51767,0.4113566
2010,7,298.5041,0.36691284
2010,8,298.58786,0.3705546
2011,4,298.89224,0.73028564
2011,5,298.80984,0.6875488
2011,6,298.7585,0.65218097
2011,7,298.7687,0.63153076
2011,8,298.7689,0.5515849
2012,1,298.72635,0.588857
2012,2,298.73117,0.59507245
2012,3,298.87183,0.7057597
2012,4,298.89877,0.7368266
2012,5,298.81436,0.6920837
2012,6,298.7794,0.67304486
2012,7,298.88742,0.75025433
2012,8,298.89102,0.6737569
2013,1,298.76688,0.6294047
2013,2,298.78357,0.64749146
2013,3,298.8183,0.6522217
2013,4,298.7684,0.6064351
2013,5,298.79663,0.67434084
2013,6,298.78174,0.67540485
2013,7,298.8129,0.67571
2013,8,298.90112,0.6838379
2014,1,298.7863,0.64882404
2014,2,298.81784,0.6817627
2014,3,298.7888,0.6227112
2014,4,298.87485,0.7128703
2014,5,298.83585,0.7135498
2014,6,298.7931,0.6867574
2014,7,298.82986,0.6927083
2014,8,298.9364,0.7191264
2015,1,298.73538,0.5979106
2015,2,298.7941,0.6580098
2015,3,298.87317,0.7070821
2015,4,298.96524,0.803304
2015,5,299.07684,0.95455325
2015,6,299.03226,0.92593384
2015,7,299.11954,0.98238117
2015,8,299.25687,1.0395712
2016,1,298.79236,0.6548869
2016,2,298.79868,0.66260785
2016,3,298.83005,0.66397095
2016,4,298.77567,0.6137187
2016,5,298.8302,0.70791626
2016,6,298.9121,0.8057963
2016,7,298.99014,0.8529663
2016,8,299.08627,0.86897784
2017,1,298.81833,0.680837
2017,2,298.8809,0.744812
2017,3,299.0079,0.8418274
2017,4,299.02905,0.86709595
2017,5,298.94775,0.82547
2017,6,298.9268,0.8204549
2017,7,299.01587,0.87868243
2017,8,299.06326,0.8459981
2018,1,298.6736,0.536143
2018,2,298.639,0.5029399
2018,3,298.69345,0.52737427
2018,4,298.8076,0.64560956
2018,5,298.75363,0.6313599
2018,6,298.8089,0.7025757
2018,7,298.87674,0.7395528
2018,8,299.03793,0.820638
2019,1,299.1139,0.9764099
2019,2,299.1423,1.0062155
2019,3,299.24234,1.0762533
2019,4,299.31815,1.1561788
2019,5,299.2656,1.1433166
2019,6,298.98474,0.8784078
2019,7,298.98105,0.8438619
2019,8,298.9832,0.76592
2020,1,298.79868,0.66118366
2020,2,298.7998,0.6637166
2020,3,298.8312,0.66515094
2020,4,298.8594,0.69746906
2020,5,298.8648,0.74249876
2020,6,298.88626,0.77993774
2020,7,298.9534,0.81621295
2020,8,299.05792,0.8406372
2021,1,298.74747,0.60997516
2021,2,298.59738,0.46129355
2021,3,298.7708,0.6047363
2021,4,298.89914,0.7371928
2021,5,298.9002,0.7779175
2021,6,298.90714,0.80082196
2021,7,298.96738,0.8302002
2021,8,299.0259,0.8086141
2022,1,298.77658,0.6390788
2022,2,298.73804,0.6019694
2022,3,298.7172,0.55113727
2022,4,298.71246,0.5505066
2022,5,298.736,0.6137146
2022,6,298.76782,0.6615092
2022,7,298.8292,0.6920268
2022,8,298.8994,0.6821289
2023,1,298.97513,0.8376567
2023,2,298.9857,0.8495992
2023,3,299.08218,0.91611737
2023,4,299.2053,1.0433451
2023,5,299.19427,1.0720154
2023,6,299.1764,1.0700582
2023,7,299.2194,1.0822144
2023,8,299.33322,1.1159261
2024,1,298.82443,0.6869405
2024,2,298.8215,0.6854248
2024,3,298.88022,0.7141215
2024,4,298.96024,0.79829913
2024,5,298.97543,0.8531494
2024,6,298.97937,0.8730367
2024,7,299.0414,0.90423584
2024,8,299.1427,0.92541504
2025,1,298.89584,0.7583618
2025,2,298.8489,0.7128398
2025,3,298.98904,0.8229777
2025,4,298.996,0.8340556
2025,5,298.946,0.82373655
2025,6,298.9355,0.8291626
