year,SST_MDR,SST_TROP
1958,27.943377,25.667612
1959,27.545448,25.59191
1960,27.751062,25.584097
1961,27.627441,25.471487
1962,27.829172,25.53211
1963,27.737917,25.662073
1964,27.540634,25.29989
1965,27.559042,25.590048
1966,27.681425,25.591667
1967,27.503038,25.435923
1968,27.692842,25.677782
1969,27.966873,25.761917
1970,27.558258,25.47999
1971,27.325647,25.37953
1972,27.365013,25.77394
1973,27.425446,25.577614
1974,27.147818,25.480852
1975,27.377584,25.305397
1976,27.805222,25.581871
1977,27.38675,25.603243
1978,27.460129,25.527048
1979,27.626692,25.739265
1980,27.826159,25.664099
1981,27.744543,25.652681
1982,27.319565,25.686502
1983,27.535995,25.755644
1984,27.126345,25.607714
1985,27.39813,25.555567
1986,27.355062,25.706842
1987,28.073606,26.062393
1988,27.516336,25.689127
1989,27.68081,25.701874
1990,27.8796,25.804667
1991,27.431044,25.740747
1992,27.443548,25.675955
1993,27.435114,25.745783
1994,27.35083,25.727509
1995,28.040411,25.87053
1996,27.60568,25.74581
1997,27.960527,26.11735
1998,28.15127,25.964533
1999,27.95182,25.679749
2000,27.638397,25.721914
2001,28.054937,25.834852
2002,27.71842,25.880438
2003,28.226748,26.021996
2004,28.167488,25.92103
2005,28.250908,25.87366
2006,28.185663,25.934443
2007,27.76332,25.752197
2008,28.018057,25.872566
2009,28.059977,26.042368
2010,28.35483,25.776224
2011,27.996576,25.71849
2012,28.217049,25.90989
2013,28.163483,25.9049
2014,28.062662,26.064964
2015,28.325417,26.286703
2016,28.103231,26.098465
2017,28.110865,26.007784
2018,27.757444,26.010843
2019,28.151863,26.101835
2020,28.171953,26.018814
2021,28.009798,25.949835
2022,28.110962,25.91031
2023,28.972223,26.40983
2024,28.788664,26.256594
