origin,month,mdr_rmse,trop_rmse,mdr_weight,trop_weight
bom,1,,,,
bom,2,,,,
bom,3,,,,
bom,4,0.32155450189488455,0.18969254848922648,0.09459245796523615,0.07970476562790803
bom,5,0.2150505307382829,0.18970405185237948,0.11676826201528633,0.06888579778201077
bom,6,0.1924120710851442,0.1979407233787463,0.10755633949522533,0.05607134073852076
bom,7,0.16626615108067833,0.2215345751921353,0.11973301807101384,0.05218936004075001
bom,8,,,,
cmcc,1,,,,
cmcc,2,,,,
cmcc,3,,,,
cmcc,4,0.503559220263675,0.14381477767804754,0.06040328422166013,0.10513106067960262
cmcc,5,0.3704458515725843,0.11985436832823161,0.06778609238887372,0.1090316117518844
cmcc,6,0.22171743640100391,0.10172884341779437,0.09334014670449027,0.10910181786906632
cmcc,7,0.23656427532701663,0.15107813165638315,0.08415280812972038,0.07652826772092573
cmcc,8,,,,
dwd,1,,,,
dwd,2,,,,
dwd,3,,,,
dwd,4,0.39916765551806443,0.22176117855848537,0.07620013867242759,0.06817875074877867
dwd,5,0.40951851532823097,0.23333352234950666,0.06131853818537987,0.056005304436097574
dwd,6,0.4564163304902722,0.22937117643384689,0.04534267653916534,0.04838795318207727
dwd,7,0.6505945926404377,0.20960878842156452,0.0305990063507076,0.055158697272387286
dwd,8,,,,
eccc,1,,,,
eccc,2,,,,
eccc,3,,,,
eccc,4,0.6504151466514201,0.22631797741061846,0.04676494829590067,0.06680600583162068
eccc,5,0.41496334346971736,0.12362143353197759,0.06051396373908079,0.10570913619886779
eccc,6,0.23106705528657748,0.10585780594659548,0.0895633434846277,0.10484632330466243
eccc,7,0.2293813140216141,0.23565783480485342,0.08678801129400161,0.04906158844984363
eccc,8,,,,
ecmwf,1,,,,
ecmwf,2,,,,
ecmwf,3,,,,
ecmwf,4,0.3478714613295891,0.12477459565412868,0.08743640707912578,0.12117370558831451
ecmwf,5,0.22948268865473104,0.11439269460732975,0.10942471027762428,0.114237320828823
ecmwf,6,0.21370764646897614,0.09791654417114126,0.09683854734518123,0.11334960644853
ecmwf,7,0.18418426473199817,0.08415165986497053,0.10808495557917362,0.13739179624892597
ecmwf,8,,,,
jma,1,,,,
jma,2,,,,
jma,3,,,,
jma,4,0.4519557420386767,0.1239685462932254,0.06730002049939962,0.12196158276255126
jma,5,0.37350356782102717,0.10768401154501123,0.06723115622768763,0.12135427318166722
jma,6,0.23373813698912754,0.08402918335285492,0.08853984337855762,0.13208270393385754
jma,7,0.18178670379041967,0.08372721312436834,0.109510473851223,0.13808829023131514
jma,8,,,,
meteo_france,1,,,,
meteo_france,2,,,,
meteo_france,3,,,,
meteo_france,4,0.2432148141864885,0.17634187715920177,0.12506076492816726,0.08573913560557458
meteo_france,5,0.24010242467808957,0.16531773933867042,0.10458485270792728,0.07904726381214378
meteo_france,6,0.24454250048825754,0.1470844676005305,0.08462798081843831,0.07545869341379004
meteo_france,7,0.3232125752272313,0.10942572799895132,0.06159273988007731,0.10565840335362225
meteo_france,8,,,,
ncep,1,,,,
ncep,2,,,,
ncep,3,,,,
ncep,4,0.31591935486991746,0.1486268266011476,0.0962797316313482,0.1017272619247166
ncep,5,0.24506892456511212,0.13723048388397494,0.10246536464929264,0.0952260356771729
ncep,6,0.21605337542727054,0.12730791164069927,0.0957871544459149,0.08718076986387994
ncep,7,0.19958116727967293,0.1531052902262572,0.0997466261134967,0.0755150111997511
ncep,8,,,,
ukmo,1,,,,
ukmo,2,,,,
ukmo,3,,,,
ukmo,4,0.4095461174349937,0.10965313785470689,0.07426912235067709,0.1378838801560604
ukmo,5,0.3321775380227612,0.10219636454589799,0.07559534840689186,0.1278706440527255
ukmo,6,0.24206297002313631,0.08758482852705633,0.08549485300719546,0.1267205968573698
ukmo,7,0.201791190338134,0.0661721051855565,0.09865419812719492,0.17472237997802975
ukmo,8,,,,
nmme_nasa,1,0.21422682364865445,0.2954614166077724,0.6142185447636733,0.49724099659703497
nmme_nasa,2,0.2978512535426035,0.24499035205789882,0.4831662363208025,0.5475122676321518
nmme_nasa,3,0.28591703059416373,0.2484346754751016,0.45939324399605563,0.5822102961494284
nmme_nasa,4,0.22541734471213282,0.20579078334770687,0.1349347395732462,0.07346976318734565
nmme_nasa,5,0.20926877759621967,0.14982657618613293,0.11999437760479287,0.08722027351206728
nmme_nasa,6,0.18226897984237417,0.09654565110885759,0.11354174505453594,0.11495910607184984
nmme_nasa,7,0.20826404149772523,0.10913057859249496,0.09558802339941251,0.10594416207898737
nmme_nasa,8,0.21439441856353167,0.16856598651650545,0.46355196522045,0.7279381540196502
nmme_ncep,1,0.34107934968054504,0.29221859430783104,0.38578145523632673,0.5027590034029651
nmme_ncep,2,0.27844866042254135,0.296439469201288,0.5168337636791974,0.4524877323678482
nmme_ncep,3,0.24296468873099697,0.3462058175418296,0.5406067560039444,0.4177897038505716
nmme_ncep,4,0.22241145032774082,0.3955463937604648,0.13675838478281135,0.03822408788752702
nmme_ncep,5,0.219661147489056,0.3690215164969179,0.11431733379716272,0.035412338766539764
nmme_ncep,6,0.20826895285182473,0.3485685425169279,0.09936736972666774,0.031841088316396086
nmme_ncep,7,0.1886075018192911,0.3887341411208867,0.10555013920397836,0.02974204342546166
nmme_ncep,8,0.18526110194114445,0.45102102653596243,0.53644803477955,0.2720618459803497
